Erbanová Petra;[2002];['Unie svobody-Demokratická unie'];['1247'];['2.30'];['28'];['26'];['54'];['NO'];0
Erben Tomáš;[2002, 2010];['Unie pro sport a zdraví', 'Unie pro sport a zdraví'];['1584', '2402'];['2.23', '2.83'];['22', '4'];['20', '3'];['32', '40'];['NO', 'NO'];0
Faltus Jaroslav;[2002];['Strana občanského porozumění'];['235'];['6.97'];['6'];['\xa0'];['56'];['NO'];0
Fejfar Pavel;[2002];['Občanská demokratická strana'];['6976'];['2.55'];['22'];['9'];['31'];['NO'];0
Fencka Tomáš;[2002];['Naděje'];['240'];['2.65'];['10'];['\xa0'];['31'];['NO'];0
Fiala Roman;[2002];['Naděje'];['213'];['2.35'];['16'];['\xa0'];['34'];['NO'];0
Fialová Dana;[2002];['Česká str.sociálně demokrat.'];['3258'];['2.09'];['37'];['30'];['53'];['NO'];1
Fill Pavel;[2002];['Hn.za harm.rozvoj obcí a měst'];['398'];['2.05'];['16'];['\xa0'];['24'];['NO'];0
Fix Jiří;[2002];['Hn.za harm.rozvoj obcí a měst'];['463'];['2.38'];['23'];['\xa0'];['27'];['NO'];0
Flanderková Hana;[2002];['Volba pro město'];['850'];['2.01'];['33'];['\xa0'];['20'];['NO'];0
Flegr Karel;[2002];['Demokratická regionální strana'];['1210'];['2.00'];['31'];['28'];['53'];['NO'];1
Flejberk Petr;[2002];['Naděje'];['179'];['1.97'];['37'];['\xa0'];['51'];['NO'];0
Fligr Martin;[2002];['Unie svobody-Demokratická unie'];['1102'];['2.04'];['33'];['31'];['21'];['NO'];0
Flossmann František;[2002];['Demokratická regionální strana'];['1328'];['2.20'];['22'];['19'];['54'];['NO'];0
Fogl Jaroslav;[2002];['Komunistická str.Čech a Moravy'];['2727'];['2.57'];['13'];['8'];['45'];['NO'];0
Foglová Marie;[2002, 2006];['Komunistická str.Čech a Moravy', 'Komunistická str.Čech a Moravy'];['2687', '2484'];['2.53', '2.51'];['17', '23'];['12', '20'];['61', '65'];['NO', 'NO'];0
Forster Martin;[2002];['Unie svobody-Demokratická unie'];['1415'];['2.62'];['13'];['12'];['31'];['NO'];0
Forstová Klára;[2002];['Občanská demokratická strana'];['6806'];['2.49'];['25'];['12'];['21'];['NO'];0
Friedrich Bohuslav;[2002, 2006, 2010];['Unie pro sport a zdraví', 'Unie pro sport a zdraví', 'Unie pro sport a zdraví'];['1260', '1837', '1551'];['1.77', '1.79', '1.83'];['35', '39', '36'];['32', '36', '33'];['61', '65', '69'];['NO', 'NO', 'NO'];0
Friedrichová Iveta;[2002];['Naděje'];['197'];['2.17'];['26'];['\xa0'];['32'];['NO'];0
Frolík Lukáš;[2002];['Republikáni Miroslava Sládka'];['93'];['6.34'];['12'];['\xa0'];['18'];['NO'];0
Fryauf Ivan;[2002];['Demokratická regionální strana'];['1240'];['2.05'];['30'];['27'];['44'];['NO'];1
Frydrych Michal;[2002];['Str.pro otevřenou společnost'];['2799'];['2.85'];['5'];['3'];['29'];['NO'];1
Gába Stanislav;[2002];['Strana občanského porozumění'];['102'];['3.02'];['15'];['\xa0'];['56'];['NO'];0
Gábor František;[2002];['Unie svobody-Demokratická unie'];['1986'];['3.67'];['3'];['1'];['32'];['NO'];0
Gajdůšek Drahomír;[2002];['Komunistická str.Čech a Moravy'];['2404'];['2.26'];['38'];['33'];['73'];['NO'];0
Galáč Martin;[2002];['Křesť.demokr.unie-Čs.str.lid.'];['801'];['2.25'];['25'];['\xa0'];['32'];['NO'];1
Gerhardt Petr;[2002];['Republikáni Miroslava Sládka'];['214'];['14.60'];['2'];['\xa0'];['27'];['NO'];0
Gräf Mirko;[2002, 2006, 2010];['Unie pro sport a zdraví', 'Unie pro sport a zdraví', 'Unie pro sport a zdraví'];['2377', '2606', '1933'];['3.35', '2.54', '2.28'];['6', '13', '29'];['3', '10', '26'];['74', '78', '82'];['NO', 'NO', 'NO'];0
Grajcar Roman;[2002, 2010, 2014];['Česká str.sociálně demokrat.', 'Česká str.sociálně demokrat.', 'Česká str.sociálně demokrat.'];['3938', '4876', '2526'];['2.53', '2.37', '2.46'];['21', '35', '28'];['14', '28', '24'];['35', '43', '47'];['NO', 'NO', 'NO'];0
Gudas Otto;[2002, 2006, 2010];['Demokratická regionální strana', 'Unie pro sport a zdraví', 'Demokratická regionální strana'];['1480', '2378', '1104'];['2.45', '2.32', '2.32'];['11', '12', '20'];['9', '9', '-'];['40', '44', '48'];['NO', 'NO', 'NO'];0
Haas Oldřich;[2002];['Česká str.sociálně demokrat.'];['4232'];['2.72'];['13'];['6'];['51'];['NO'];1
Hainz Roman;[2002];['Komunistická str.Čech a Moravy'];['2715'];['2.56'];['16'];['11'];['33'];['NO'];0
Hájek Miroslav;[2002];['Křesť.demokr.unie-Čs.str.lid.'];['819'];['2.30'];['22'];['\xa0'];['46'];['NO'];1
Hajíček David;[2002];['Hn.za harm.rozvoj obcí a měst'];['446'];['2.30'];['20'];['\xa0'];['33'];['NO'];1
Hájková Jana;[2002];['Strana svobodných severu'];['61'];['1.72'];['16'];['\xa0'];['50'];['NO'];0
Halberstadtová Dana;[2002];['Občanská demokratická strana'];['7245'];['2.65'];['16'];['3'];['54'];['NO'];1
Halíř Jaromír;[2002];['NEZÁVISLÍ'];['835'];['1.64'];['35'];['33'];['54'];['NO'];0
Hampl Karel;[2002, 2006, 2014];['Str.pro otevřenou společnost', 'SOS pro Liberec', 'Starostové pro Liberecký kraj'];['2321', '5642', '4079'];['2.37', '2.38', '2.35'];['22', '33', '33'];['19', '23', '25'];['62', '66', '74'];['NO', 'NO', 'NO'];0
Hanka Petr;[2002];['Demokratická regionální strana'];['1301'];['2.16'];['21'];['18'];['39'];['NO'];0
Hapl Milan;[2002];['Unie pro sport a zdraví'];['1560'];['2.20'];['15'];['13'];['40'];['NO'];1
Harus Miroslav;[2002];['NEZÁVISLÍ'];['737'];['1.45'];['39'];['37'];['25'];['NO'];0
